tract_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02
40109100100,1718,470,934,314,357,793,568,0,57,10,98,222,50,151,34,26,46,28,113,22,120,135,230,37,207,46,86,1361,172,60,83,1,41,1581,137,172,332,415,329,826,892
40109100200,2986,767,1665,554,732,1220,1034,2,96,19,104,183,91,317,74,50,135,48,197,47,231,296,438,38,365,96,159,2311,330,98,139,0,108,2676,310,314,634,744,527,1488,1498
40109100300,1472,280,779,413,255,391,826,1,89,21,63,63,41,111,21,30,86,22,110,52,98,188,220,16,124,31,85,1318,67,22,35,0,30,1391,81,116,295,366,415,754,718
40109100400,869,216,457,196,312,455,102,1,9,8,29,56,24,98,26,12,19,14,28,18,114,62,159,15,109,27,41,201,629,11,8,0,20,828,41,126,200,217,110,401,468
40109100500,868,268,443,157,288,375,205,0,10,4,27,49,23,87,17,12,28,13,42,15,101,67,155,17,118,23,60,258,558,10,22,1,19,830,38,90,182,230,98,409,459
40109100600,516,112,304,100,81,151,284,0,31,4,19,14,24,26,14,7,20,7,39,11,42,75,86,13,46,7,31,455,29,16,4,0,12,483,33,46,103,142,113,251,265
40109100700,743,237,382,124,196,331,216,1,22,3,32,48,29,88,24,10,32,9,46,24,57,63,88,14,101,21,31,549,107,31,22,0,34,671,72,73,154,166,113,399,344
40109100800,1187,322,640,225,324,529,334,0,25,6,49,98,42,119,34,18,47,21,83,18,91,100,157,23,158,23,75,827,173,41,103,2,41,1073,114,146,258,270,191,642,545
40109100900,853,181,512,160,172,317,364,1,33,8,36,40,37,85,15,13,55,15,57,27,58,110,114,7,69,18,55,708,67,31,34,0,13,793,60,83,191,220,178,391,462
40109101000,898,266,460,172,289,386,223,1,26,5,41,81,37,114,21,18,34,10,55,20,71,72,95,9,134,27,27,568,126,22,152,2,28,808,90,111,186,184,151,507,391
40109101100,553,194,301,58,161,262,130,2,10,2,20,16,15,54,5,9,18,12,34,19,55,63,69,14,90,19,27,423,81,23,15,1,10,506,47,45,105,132,77,302,251
40109101200,780,250,400,130,200,322,258,1,22,6,21,45,29,77,26,16,29,8,55,20,52,58,104,8,116,28,59,594,89,31,42,1,23,712,68,77,164,150,139,393,387
40109101300,1161,249,669,243,429,597,135,0,10,8,35,68,46,132,25,14,41,18,34,11,149,97,236,13,144,25,55,230,865,17,12,2,35,1116,45,145,295,347,125,475,686
40109101400,480,112,256,112,144,241,95,0,10,2,11,32,15,63,15,2,18,7,14,4,28,67,82,6,60,14,30,123,329,10,9,1,8,441,39,68,102,132,66,224,256
40109101500,873,224,438,211,231,362,280,1,25,7,28,28,23,65,20,13,36,7,36,21,67,178,151,11,67,23,66,409,390,17,31,1,25,848,25,85,175,235,154,458,415
40109101600,381,137,176,68,81,143,157,0,12,1,17,19,19,39,3,4,11,6,24,16,34,31,56,9,35,9,36,300,44,16,5,1,15,359,22,30,70,86,58,198,183
40109101700,694,119,401,174,113,148,433,1,45,5,19,26,24,43,9,18,40,16,68,38,38,88,93,7,44,14,58,588,51,21,14,2,18,673,21,45,152,185,193,367,327
40109101800,847,231,466,150,189,269,389,1,39,7,25,34,37,61,13,18,40,10,65,13,66,94,135,16,105,21,47,719,48,23,25,0,32,795,52,69,169,185,193,455,392
40109101900,1440,421,733,286,330,551,559,1,45,14,49,86,46,133,25,22,47,24,100,31,120,177,188,20,171,37,104,1151,127,46,73,1,42,1317,123,134,270,318,297,750,690
40109102000,1498,395,794,309,370,644,484,0,53,4,69,82,49,153,33,35,69,18,121,26,139,136,188,30,162,54,77,1172,161,75,47,0,43,1340,158,163,328,354,258,753,745
40109102100,1031,261,564,206,262,364,405,3,34,13,40,39,44,101,35,20,43,14,51,28,88,100,161,23,106,29,59,833,85,47,25,4,37,888,143,120,199,264,187,555,476
40109102200,1008,305,496,207,292,479,237,2,19,5,59,97,49,136,31,12,37,5,46,14,81,60,142,14,125,35,39,805,88,49,33,5,28,793,215,121,203,232,147,521,487
40109102300,1310,365,716,229,341,592,377,2,30,12,87,98,61,154,48,21,53,28,61,25,113,96,143,20,154,38,66,1057,140,36,39,6,32,1034,276,178,273,301,193,729,581
40109102400,1261,389,646,226,375,640,246,2,31,4,95,119,55,174,44,17,37,21,48,22,123,74,137,19,181,36,22,934,174,57,60,2,34,884,377,184,260,277,151,675,586
40109102500,399,145,194,60,93,104,202,0,30,2,16,13,7,23,12,4,20,3,39,12,26,48,56,12,41,13,22,318,46,15,9,3,8,374,25,38,74,79,63,217,182
40109102600,166,55,84,27,69,71,26,0,5,0,4,11,6,13,3,1,10,1,3,3,13,19,29,2,29,4,10,63,89,9,2,0,3,151,15,17,34,31,29,74,92
40109102700,112,28,53,31,37,47,28,1,2,1,8,6,1,9,6,0,3,2,2,1,5,38,11,1,10,3,2,67,24,4,12,0,5,99,13,14,17,31,22,60,52
40109102800,911,215,510,186,360,422,129,1,10,3,24,64,37,121,26,13,34,13,23,13,103,69,158,17,127,19,36,237,617,22,14,1,20,859,52,121,203,253,119,400,511
40109102900,448,105,268,75,148,191,109,0,3,4,16,46,14,45,20,6,9,5,18,7,56,37,65,8,48,9,32,99,313,9,9,0,18,426,22,51,123,114,55,207,241
40109103000,227,43,131,53,56,90,81,0,10,0,11,11,7,16,11,9,11,4,14,4,24,26,25,3,27,4,10,96,107,9,11,0,4,205,22,30,58,57,39,122,105
40109103200,859,229,479,151,181,279,399,1,49,15,28,33,34,70,23,8,26,13,54,18,77,97,138,13,100,11,51,644,118,34,40,0,23,792,67,84,184,209,153,519,340
40109103300,565,175,282,108,174,290,101,2,17,1,45,56,27,68,21,10,12,9,27,6,52,29,69,11,79,14,10,401,103,26,8,2,25,336,229,103,110,110,67,308,257
40109103400,238,51,113,74,94,100,44,0,3,0,26,22,15,35,7,4,5,3,5,6,39,8,8,7,38,1,6,179,33,14,4,0,8,172,66,42,51,57,37,139,99
40109103500,142,41,73,28,46,58,38,0,3,0,9,7,5,22,8,3,5,5,6,1,18,7,21,1,11,5,5,103,25,9,2,1,2,107,35,18,33,30,20,84,58
40109103601,307,87,139,81,74,78,155,1,26,1,11,27,4,21,4,9,6,8,38,13,35,18,28,10,20,9,18,257,34,7,4,0,5,293,14,17,56,76,71,177,130
40109103602,136,36,72,28,55,57,24,0,4,0,8,16,11,14,4,1,6,1,5,2,16,4,15,4,20,3,2,83,37,4,4,0,8,125,11,17,34,35,14,87,49
40109103700,158,39,88,31,49,65,44,0,3,2,13,12,11,21,3,1,7,5,2,2,21,7,19,3,17,3,6,110,25,14,1,1,7,118,40,27,38,33,21,98,60
40109103800,710,276,338,96,88,142,480,1,92,9,15,39,25,37,11,15,25,12,58,33,45,117,74,13,37,16,36,611,45,12,28,0,14,683,27,40,115,152,127,409,301
40109103900,1082,342,550,190,331,575,176,3,22,3,88,167,43,133,32,12,33,21,43,20,93,56,109,13,129,30,32,854,126,50,23,0,29,625,457,190,212,211,127,591,491
40109104000,146,48,70,28,47,61,38,0,3,1,9,17,5,22,1,0,3,2,2,1,23,5,20,2,24,3,3,107,20,8,4,0,7,86,60,28,28,28,14,76,70
40109104100,892,275,475,142,315,425,152,4,18,4,72,100,40,124,38,10,29,14,28,18,106,23,84,23,117,23,17,628,167,53,11,0,33,575,317,144,187,205,81,444,448
40109104200,711,196,356,159,213,390,108,1,20,1,85,91,35,69,30,10,15,14,21,11,62,41,64,12,87,23,19,585,45,42,16,0,23,386,325,144,167,143,61,375,336
40109104300,930,256,497,177,273,492,165,1,24,6,92,118,40,113,36,8,33,16,39,8,87,42,80,20,115,30,22,812,41,45,7,3,22,497,433,178,197,188,111,473,457
40109104400,1041,308,555,178,293,556,192,6,28,3,126,134,60,113,26,7,35,11,37,15,80,54,92,15,144,32,23,859,81,49,19,2,31,567,474,221,190,205,117,575,466
40109104500,1041,310,524,207,328,529,184,0,32,8,110,115,50,126,32,18,36,15,28,10,79,56,107,16,139,40,24,851,87,55,11,2,35,530,511,197,232,199,103,589,452
40109104600,310,85,158,67,97,147,66,2,12,2,25,31,17,45,9,4,14,1,8,5,25,15,23,11,40,9,12,249,25,22,6,0,8,183,127,56,61,61,47,174,136
40109104700,313,86,165,62,118,134,61,1,10,0,21,36,14,37,8,8,6,4,21,5,34,12,30,2,43,12,9,226,39,23,7,1,17,215,98,55,71,64,37,165,148
40109104800,1004,280,524,200,331,506,167,5,24,3,106,117,41,137,28,8,22,11,21,19,96,69,92,19,136,31,19,819,83,55,15,2,30,680,324,172,206,217,129,541,463
40109104900,1092,317,568,207,310,607,175,1,29,5,102,133,53,123,36,16,32,16,35,16,101,73,111,10,147,35,18,896,89,66,15,2,24,632,460,198,251,201,125,580,512
40109105000,754,212,376,166,216,397,141,1,26,3,65,80,38,91,31,14,29,12,27,13,52,38,82,21,86,27,18,623,66,31,15,3,16,409,345,147,162,144,89,402,352
40109105100,1256,451,565,240,236,411,609,2,62,23,49,53,31,84,21,26,56,17,106,29,88,200,182,13,85,39,90,919,200,38,61,1,37,1180,76,88,220,280,217,626,630
40109105201,676,160,323,193,260,306,110,0,7,9,16,45,20,69,14,9,17,13,19,16,84,71,108,20,87,11,41,102,533,10,7,1,23,656,20,84,160,172,100,308,368
40109105202,557,134,289,134,210,234,113,0,7,3,15,35,22,72,13,5,13,7,19,12,56,44,98,17,63,8,48,105,416,7,3,0,26,538,19,75,141,138,69,211,346
40109105300,1178,338,600,240,385,576,217,3,26,11,95,150,64,142,43,12,26,17,37,15,104,69,120,24,155,37,28,909,146,64,28,1,30,857,321,191,250,264,135,617,561
40109105400,721,192,374,155,255,339,127,1,16,2,76,80,34,96,13,8,16,8,33,13,64,38,75,15,96,23,14,597,61,35,15,0,13,528,193,122,175,152,80,373,348
40109105500,876,246,450,180,282,431,163,1,29,1,100,66,42,131,34,13,26,11,34,8,87,24,80,22,128,20,19,696,80,45,18,5,32,522,354,139,187,190,114,460,416
40109105600,1428,465,698,265,465,702,261,3,50,10,102,164,65,209,61,18,40,20,56,11,104,60,150,25,193,50,37,1148,156,75,18,1,30,841,587,223,303,278,159,729,699
40109105700,297,75,166,56,122,121,54,0,7,0,23,35,19,47,11,2,7,4,8,4,35,18,14,6,41,10,6,219,34,25,5,0,14,217,80,45,78,63,36,185,112
40109105800,337,74,185,78,118,150,69,4,8,1,36,33,15,46,16,6,7,7,13,1,35,30,28,7,31,9,4,258,43,20,8,0,8,259,78,62,77,75,49,215,122
40109105903,1378,357,732,289,332,671,375,3,41,10,56,97,71,171,39,32,66,16,85,31,139,81,167,31,132,43,67,1034,212,50,38,2,42,1196,182,156,305,332,228,631,747
40109105904,1717,479,911,327,487,826,404,6,41,8,73,118,77,226,55,29,62,19,88,27,189,101,234,30,225,44,65,1302,228,69,65,5,48,1423,294,228,335,391,284,857,860
40109105905,1218,328,655,235,317,568,333,4,37,13,68,91,48,146,52,21,46,22,62,21,82,87,151,18,153,33,63,934,153,43,51,1,36,1029,189,138,263,295,194,624,594
40109105906,1416,350,767,299,313,678,425,1,30,11,75,101,58,150,53,19,68,21,68,40,136,124,174,17,153,42,75,1150,134,47,28,8,49,1228,188,146,338,337,245,710,706
40109105907,1730,442,868,420,450,901,379,2,50,11,102,142,92,216,66,14,54,30,109,31,184,95,190,28,202,43,69,1338,202,66,73,6,45,1371,359,234,400,401,253,920,810
40109106000,994,195,464,335,262,344,388,3,36,9,30,57,30,88,28,9,45,19,49,16,98,95,159,18,88,19,98,390,529,26,18,0,31,952,42,104,220,277,198,471,523
40109106100,1190,290,590,310,391,493,306,1,23,6,33,75,35,137,25,21,41,20,45,20,103,135,195,42,138,31,64,366,765,21,8,0,30,1150,40,123,305,319,153,513,677
40109106200,782,174,403,205,236,320,226,1,34,5,22,48,37,85,25,20,32,14,28,19,56,89,105,14,80,15,53,237,501,11,8,0,25,758,24,86,191,184,147,341,441
40109106301,1476,445,758,273,510,736,230,1,26,8,56,80,42,184,42,18,52,27,55,18,142,107,237,37,229,50,65,560,806,29,29,0,52,1355,121,180,342,321,188,719,757
40109106302,2200,628,1202,370,665,1047,488,4,44,13,78,133,78,234,56,33,104,31,107,31,236,159,351,40,295,42,131,835,1217,31,63,2,52,2000,200,258,504,533,277,1066,1134
40109106303,1485,399,766,320,396,670,419,2,60,6,69,65,61,201,28,21,75,22,80,28,135,119,196,24,204,33,56,1047,320,41,32,1,44,1305,180,170,304,357,255,745,740
40109106401,1013,178,465,370,158,206,649,1,112,8,35,34,46,74,11,26,62,19,100,39,66,85,178,10,55,20,32,922,22,17,39,2,11,984,29,62,221,259,293,558,455
40109106402,1060,192,556,312,168,273,619,0,75,12,46,43,39,110,24,29,58,23,93,23,69,105,163,17,61,24,46,943,38,29,18,1,31,1003,57,83,251,272,262,557,503
40109106403,2596,726,1269,601,501,920,1175,3,163,25,112,121,101,265,54,56,141,35,209,58,179,225,374,58,219,71,127,2231,160,86,44,0,75,2454,142,188,550,612,520,1303,1293
40109106501,1590,330,791,469,302,500,788,2,113,10,77,59,62,157,31,24,88,23,109,39,109,146,236,25,134,57,89,1334,137,34,45,1,39,1525,65,125,352,432,351,790,800
40109106502,1844,462,981,401,474,730,640,1,68,12,58,126,64,217,39,23,91,30,134,33,142,176,243,42,198,53,94,1400,205,60,115,1,63,1720,124,153,378,492,359,921,923
40109106503,801,180,388,233,150,241,410,0,40,4,29,40,35,72,19,31,40,9,69,20,51,96,107,14,46,19,60,683,57,23,18,1,19,732,69,66,172,181,202,414,387
40109106601,1571,424,841,306,385,686,500,1,53,8,62,82,68,178,53,22,75,24,119,27,128,108,243,22,181,45,72,1179,216,50,78,1,47,1413,158,151,343,383,270,766,805
40109106602,1468,398,771,299,319,624,525,1,44,12,75,76,70,169,45,27,70,25,91,22,144,129,189,16,153,33,77,1148,195,37,45,2,41,1302,166,141,314,363,252,714,754
40109106604,1133,352,558,223,287,526,320,0,26,5,43,49,39,176,45,26,59,24,45,17,109,72,205,11,119,18,45,767,251,34,40,2,39,1050,83,106,228,266,181,559,574
40109106606,1107,315,533,259,266,424,417,2,42,9,49,59,59,123,38,22,47,16,67,28,94,87,174,24,96,17,54,871,125,48,42,3,18,1040,67,86,230,279,197,545,562
40109106607,1880,471,964,445,474,750,656,0,77,8,68,103,73,205,51,31,73,31,123,45,161,184,281,36,180,54,96,1475,244,53,62,3,43,1724,156,199,391,460,359,920,960
40109106608,1625,399,788,438,334,545,746,5,72,11,53,90,65,147,34,31,105,23,119,38,107,192,224,32,141,33,103,1400,100,43,53,0,29,1538,87,138,372,378,338,760,865
40109106609,722,146,374,202,155,245,322,1,29,3,30,36,30,101,13,7,46,14,60,16,59,61,92,12,56,22,34,603,60,20,27,1,11,669,53,63,154,184,175,333,389
40109106610,866,230,444,192,210,326,330,0,36,5,41,38,27,109,24,14,40,22,55,17,78,75,140,13,79,18,35,672,102,33,30,0,29,825,41,60,196,197,183,444,422
40109106702,1768,450,938,380,486,807,475,1,39,12,101,78,84,258,44,28,81,31,99,23,154,149,219,28,220,42,77,1447,160,67,42,3,49,1534,234,201,405,421,291,863,905
40109106704,1100,236,534,330,285,444,371,4,26,7,44,67,55,128,50,13,52,17,71,13,68,136,152,11,85,40,61,961,73,29,16,1,20,1017,83,102,247,278,237,566,534
40109106705,1164,258,642,264,277,461,426,1,34,6,59,51,42,153,25,20,64,22,63,21,93,121,142,12,117,32,86,925,128,36,38,1,36,1056,108,110,238,323,235,579,585
40109106706,1721,434,888,399,434,707,580,1,38,10,68,91,70,208,46,23,76,31,121,42,123,136,285,27,185,44,96,1266,317,50,32,3,53,1570,151,173,408,405,301,824,897
40109106707,2790,879,1409,502,857,1251,682,2,50,14,95,138,111,354,86,52,108,59,134,57,285,178,455,60,367,80,105,1784,733,85,97,1,90,2563,227,267,578,638,428,1311,1479
40109106708,1122,185,514,423,235,297,590,1,36,14,40,66,48,140,39,12,58,18,76,10,69,123,189,15,67,20,81,899,63,18,125,0,17,1072,50,89,251,307,290,551,571
40109106801,793,201,458,134,230,326,237,0,22,6,48,37,32,84,29,14,27,11,29,14,67,113,106,9,80,26,39,682,38,38,8,1,26,698,95,75,169,208,140,397,396
40109106802,882,251,437,194,224,371,287,1,21,9,45,50,46,114,28,7,32,10,52,16,62,113,110,15,85,21,45,794,29,26,11,1,21,800,82,77,197,191,166,421,461
40109106803,1212,322,606,284,347,545,320,1,25,7,74,59,74,162,46,18,52,25,59,18,89,106,160,20,154,26,37,986,111,48,18,1,48,1042,170,126,277,302,185,655,557
40109106804,1818,460,968,390,494,840,484,2,35,4,87,98,98,234,58,19,83,32,89,30,152,161,228,39,219,59,91,1457,228,52,31,1,49,1621,197,190,420,466,282,915,903
40109106902,1199,299,635,265,286,570,343,3,48,5,58,101,57,132,46,16,49,23,55,17,99,115,133,27,131,33,51,964,122,56,17,1,39,1030,169,121,274,311,194,629,570
40109106903,2898,695,1540,663,678,1155,1065,2,102,12,166,207,145,322,93,40,123,44,135,39,219,293,401,32,271,60,192,2435,238,87,45,3,90,2657,241,300,625,729,549,1438,1460
40109106906,1239,305,624,310,315,474,450,1,27,8,66,72,53,133,46,16,56,22,62,31,105,124,163,16,130,39,69,936,188,31,54,1,29,1119,120,125,289,264,256,626,613
40109106907,890,236,431,223,226,380,284,0,36,0,44,64,46,86,34,5,42,19,64,16,82,53,118,14,106,25,36,722,82,35,27,2,22,756,134,85,212,201,156,457,433
40109106909,783,202,407,174,209,303,271,1,23,10,34,62,49,90,26,7,36,11,37,15,65,70,104,12,83,17,31,607,107,18,28,2,21,731,52,96,153,188,144,404,379
40109106910,1210,335,604,271,290,573,347,3,30,3,40,99,66,157,72,21,36,26,72,19,90,115,145,21,125,23,47,986,136,30,31,0,27,1095,115,106,294,282,193,603,607
