tract_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02
40109107404,1484,383,809,292,409,626,449,2,25,14,46,112,50,156,64,27,59,32,74,30,128,130,202,25,175,42,91,776,542,37,78,9,42,1395,89,147,317,381,256,701,783
40109107405,1997,531,1118,348,447,786,764,2,27,14,55,130,74,207,87,46,72,33,110,22,152,230,284,27,215,48,162,1369,400,58,96,3,71,1862,135,191,413,493,369,967,1030
40109107500,344,127,175,42,125,136,83,1,12,1,10,21,16,66,11,6,12,2,10,3,29,26,48,8,45,6,11,245,60,14,10,2,13,321,23,40,63,74,40,158,186
40109107601,922,284,458,180,299,453,170,0,13,6,48,50,41,157,25,11,41,21,39,12,61,59,93,17,154,33,41,623,187,41,26,1,44,864,58,96,209,204,129,431,491
40109107604,987,275,557,155,238,474,275,0,18,5,30,57,39,137,44,20,45,24,43,10,78,86,142,20,106,30,53,760,107,43,23,2,52,919,68,91,252,244,125,443,544
40109107605,993,315,532,146,267,488,238,1,16,7,48,65,45,154,28,14,35,10,51,7,68,70,135,18,141,15,65,794,112,48,17,1,21,940,53,97,226,221,134,530,463
40109107606,223,54,122,47,62,105,56,0,7,2,14,11,17,28,4,4,8,6,9,3,22,20,24,5,30,6,3,169,15,17,9,1,12,215,8,16,64,54,35,124,99
40109107607,1623,405,904,314,412,696,515,1,34,17,71,96,75,208,50,23,62,36,77,25,104,156,239,28,193,32,96,1249,228,62,36,7,41,1514,109,153,354,426,285,716,907
40109107703,1650,414,843,393,398,640,612,3,40,32,66,100,58,171,49,33,75,23,80,29,109,215,219,29,162,30,127,1250,261,65,30,7,37,1569,81,143,378,390,325,802,848
40109107704,786,197,442,147,189,373,224,2,12,5,39,58,53,86,32,13,28,11,49,12,64,66,85,14,94,21,42,601,112,29,21,1,22,739,47,75,180,196,138,372,414
40109107705,1014,287,531,196,255,436,323,4,24,7,48,70,48,128,26,13,36,17,57,12,67,84,146,24,118,22,63,830,105,34,13,2,30,960,54,99,213,259,156,484,530
40109107706,1253,359,686,208,346,569,338,4,34,8,54,59,63,184,46,18,45,16,55,18,106,90,160,24,159,39,71,920,180,48,53,1,51,1176,77,102,274,298,220,622,631
40109107707,736,228,373,135,178,357,201,2,12,11,30,48,44,87,27,6,36,6,35,15,67,68,84,12,83,17,46,583,72,29,12,0,40,676,60,79,146,174,109,345,391
40109107801,1497,437,772,288,467,661,369,1,33,4,76,91,48,195,46,27,48,22,67,16,119,110,225,26,226,34,83,854,500,50,30,2,61,1377,120,158,339,355,208,678,819
40109107804,1085,273,598,214,287,478,320,0,29,8,50,57,49,151,36,18,33,24,44,18,75,96,147,21,126,30,73,880,118,38,14,1,34,1018,67,96,257,258,201,548,537
40109107805,1196,296,683,217,355,570,271,1,22,5,64,95,58,163,39,17,47,15,45,21,102,93,177,14,130,28,60,780,318,40,25,0,33,1114,82,119,302,297,182,599,597
40109107806,1743,437,909,397,447,751,545,2,53,11,76,147,84,234,62,29,44,27,80,17,130,156,233,22,177,51,108,1317,282,60,28,1,55,1646,97,156,404,444,302,830,913
40109107807,1245,297,703,245,303,553,389,2,22,9,53,115,46,170,42,29,34,15,57,18,102,104,153,21,122,25,106,915,199,48,40,0,43,1173,72,113,305,305,225,605,640
40109107808,921,250,480,191,227,398,296,0,17,7,44,65,52,126,49,21,26,16,46,14,71,80,106,13,90,27,51,649,172,32,28,3,37,859,62,92,214,209,156,485,436
40109107809,808,195,460,153,223,401,184,0,19,5,44,53,32,96,38,17,25,10,28,14,58,63,108,20,94,29,55,640,114,19,12,0,23,747,61,71,184,223,135,399,409
40109107810,1292,357,674,261,373,622,297,1,24,8,70,101,59,168,38,24,54,24,57,21,91,89,187,20,148,43,65,1008,158,55,26,1,44,1179,113,107,288,321,219,618,674
40109107900,700,187,356,157,269,338,93,0,6,11,36,33,16,91,19,7,21,8,15,7,81,47,115,13,103,15,56,150,492,15,9,0,34,670,30,93,166,186,68,279,421
40109108003,1848,621,942,285,564,918,366,4,26,12,79,138,57,235,58,34,55,41,71,24,174,116,290,27,259,36,112,843,840,50,33,6,76,1770,78,184,400,425,218,850,998
40109108005,1021,226,583,212,272,464,285,1,16,5,52,72,38,117,34,18,35,5,34,23,91,95,175,14,95,19,82,466,501,18,7,1,28,966,55,134,270,246,145,507,514
40109108006,1786,498,950,338,422,745,619,4,37,15,65,106,90,199,48,31,87,30,95,25,124,181,273,28,194,30,124,1202,409,65,46,2,62,1686,100,152,384,444,308,831,955
40109108007,1438,323,777,338,362,548,528,0,40,8,40,68,69,175,41,20,61,18,74,12,117,194,246,12,121,30,92,1076,240,44,32,3,43,1358,80,124,333,357,301,680,758
