work_tract,home_tract,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03
40109100100,40109108803,3,0,3,0,2,1,0,0,0,3
40109100100,40109108804,3,1,1,1,2,1,0,0,0,3
40109100100,40109108900,3,0,3,0,0,2,1,0,0,3
40109100100,40109109003,5,1,3,1,1,0,4,0,0,5
40109100100,40109109004,4,2,2,0,2,1,1,0,0,4
40109100100,40109109201,4,0,3,1,0,1,3,0,0,4
40109100100,40109109202,1,0,1,0,1,0,0,0,0,1
40109100200,40109100100,11,3,5,3,3,6,2,2,1,8
40109100200,40109100200,51,14,26,11,25,15,11,3,8,40
40109100200,40109100300,14,2,4,8,1,7,6,0,0,14
40109100200,40109100400,3,0,2,1,1,2,0,0,1,2
40109100200,40109100500,6,2,3,1,2,1,3,0,0,6
40109100200,40109100700,2,2,0,0,1,1,0,0,0,2
40109100200,40109100800,5,1,3,1,2,2,1,0,1,4
40109100200,40109100900,4,3,1,0,1,3,0,0,1,3
40109100200,40109101000,8,1,6,1,2,6,0,0,0,8
40109100200,40109101100,1,0,1,0,0,1,0,0,1,0
40109100200,40109101200,3,1,1,1,1,1,1,0,1,2
40109100200,40109101300,5,2,3,0,3,1,1,0,1,4
40109100200,40109101400,2,1,0,1,1,1,0,0,2,0
40109100200,40109101500,1,1,0,0,1,0,0,0,0,1
40109100200,40109101700,2,1,1,0,1,0,1,0,1,1
40109100200,40109101800,1,1,0,0,0,1,0,0,0,1
40109100200,40109101900,8,5,3,0,1,5,2,0,1,7
40109100200,40109102000,4,0,4,0,0,2,2,0,0,4
40109100200,40109102100,11,6,5,0,6,2,3,0,2,9
40109100200,40109102200,9,2,6,1,2,7,0,0,2,7
40109100200,40109102300,19,2,10,7,8,11,0,1,3,15
40109100200,40109102400,12,4,4,4,3,9,0,0,2,10
40109100200,40109102500,1,0,1,0,1,0,0,0,0,1
40109100200,40109102600,4,2,2,0,2,2,0,1,0,3
40109100200,40109102800,3,2,1,0,1,2,0,0,2,1
40109100200,40109103000,1,0,1,0,1,0,0,0,0,1
40109100200,40109103200,2,0,2,0,2,0,0,0,1,1
40109100200,40109103300,6,3,2,1,3,3,0,0,2,4
40109100200,40109103602,1,0,1,0,0,0,1,0,1,0
40109100200,40109103900,2,0,1,1,0,2,0,0,1,1
40109100200,40109104100,3,0,1,2,0,3,0,0,1,2
40109100200,40109104200,2,1,1,0,2,0,0,0,0,2
40109100200,40109104300,6,0,4,2,2,4,0,0,3,3
40109100200,40109104400,2,0,2,0,1,1,0,0,0,2
40109100200,40109104500,6,6,0,0,4,2,0,0,1,5
40109100200,40109104700,1,0,1,0,0,1,0,0,0,1
40109100200,40109104800,3,2,1,0,2,0,1,0,1,2
40109100200,40109104900,3,0,2,1,2,1,0,0,0,3
40109100200,40109105000,1,0,1,0,0,1,0,0,0,1
40109100200,40109105100,8,4,2,2,2,5,1,0,0,8
40109100200,40109105202,2,1,0,1,1,1,0,0,2,0
40109100200,40109105300,2,0,2,0,0,2,0,0,1,1
40109100200,40109105500,1,0,1,0,1,0,0,0,0,1
40109100200,40109105600,9,1,6,2,6,2,1,0,1,8
40109100200,40109105700,1,0,0,1,0,1,0,1,0,0
40109100200,40109105800,6,1,2,3,3,1,2,0,1,5
40109100200,40109105903,9,2,7,0,1,8,0,1,1,7
40109100200,40109105904,18,5,12,1,11,7,0,0,4,14
40109100200,40109105905,11,3,5,3,5,6,0,0,2,9
40109100200,40109105906,7,0,4,3,1,3,3,0,1,6
40109100200,40109105907,14,6,4,4,5,5,4,0,3,11
40109100200,40109106000,3,0,1,2,0,1,2,0,1,2
40109100200,40109106100,7,2,5,0,2,4,1,0,0,7
40109100200,40109106200,7,1,6,0,3,1,3,0,1,6
40109100200,40109106301,7,4,1,2,5,2,0,0,0,7
40109100200,40109106302,8,2,2,4,0,4,4,0,1,7
40109100200,40109106303,8,0,6,2,2,3,3,0,2,6
40109100200,40109106401,3,1,0,2,0,1,2,0,0,3
40109100200,40109106402,8,4,4,0,2,6,0,0,0,8
40109100200,40109106403,8,0,8,0,1,2,5,2,1,5
40109100200,40109106501,10,1,5,4,1,6,3,0,3,7
40109100200,40109106502,19,10,8,1,10,7,2,0,3,16
40109100200,40109106503,4,1,3,0,2,2,0,0,2,2
40109100200,40109106601,14,3,5,6,7,7,0,1,0,13
40109100200,40109106602,5,0,4,1,0,4,1,0,0,5
40109100200,40109106604,4,1,3,0,2,2,0,0,2,2
40109100200,40109106606,1,0,0,1,1,0,0,0,0,1
40109100200,40109106607,12,1,7,4,4,2,6,0,5,7
40109100200,40109106608,8,1,5,2,1,0,7,0,0,8
40109100200,40109106609,1,0,0,1,0,1,0,0,0,1
40109100200,40109106610,3,1,2,0,1,0,2,0,0,3
40109100200,40109106702,13,4,4,5,8,5,0,0,1,12
40109100200,40109106704,5,1,2,2,2,3,0,0,2,3
40109100200,40109106705,6,1,4,1,0,1,5,0,0,6
40109100200,40109106706,7,1,3,3,2,4,1,0,1,6
40109100200,40109106707,14,4,7,3,3,9,2,0,0,14
40109100200,40109106708,5,2,1,2,1,2,2,0,1,4
40109100200,40109106801,3,1,2,0,1,0,2,0,0,3
40109100200,40109106802,8,4,2,2,1,7,0,1,2,5
40109100200,40109106803,8,3,5,0,4,3,1,0,1,7
40109100200,40109106804,11,4,5,2,2,7,2,0,2,9
40109100200,40109106902,2,2,0,0,1,1,0,0,0,2
40109100200,40109106903,10,4,4,2,0,7,3,0,1,9
40109100200,40109106906,4,4,0,0,4,0,0,0,0,4
40109100200,40109106907,3,1,1,1,2,1,0,0,2,1
40109100200,40109106909,3,1,2,0,0,2,1,0,0,3
40109100200,40109106910,7,0,5,2,0,4,3,2,0,5
40109100200,40109106911,4,3,0,1,0,1,3,0,0,4
40109100200,40109106912,9,5,4,0,5,2,2,0,2,7
40109100200,40109106913,8,2,4,2,1,4,3,0,4,4
40109100200,40109106914,3,0,3,0,2,1,0,0,2,1
40109100200,40109106915,16,4,8,4,6,9,1,1,4,11
40109100200,40109107001,3,0,2,1,0,3,0,1,1,1
40109100200,40109107002,1,0,1,0,0,1,0,0,0,1
40109100200,40109107104,5,0,5,0,2,2,1,0,2,3
40109100200,40109107206,3,1,2,0,1,2,0,0,1,2
40109100200,40109107209,8,4,2,2,3,3,2,0,1,7
40109100200,40109107210,4,0,4,0,2,2,0,0,0,4
40109100200,40109107211,5,1,2,2,2,3,0,0,1,4
40109100200,40109107212,4,2,1,1,2,2,0,0,1,3
40109100200,40109107213,4,0,4,0,1,3,0,0,1,3
40109100200,40109107214,3,2,0,1,3,0,0,0,0,3
40109100200,40109107215,8,2,6,0,4,4,0,0,1,7
40109100200,40109107216,3,1,1,1,2,1,0,1,1,1
40109100200,40109107217,4,2,2,0,3,1,0,0,1,3
40109100200,40109107218,1,1,0,0,0,1,0,0,0,1
40109100200,40109107219,4,1,1,2,0,4,0,0,0,4
40109100200,40109107220,2,1,0,1,1,1,0,0,0,2
40109100200,40109107221,5,1,3,1,2,3,0,0,2,3
40109100200,40109107222,2,0,1,1,0,2,0,0,2,0
40109100200,40109107223,7,1,4,2,0,4,3,0,1,6
40109100200,40109107302,1,0,1,0,1,0,0,0,0,1
40109100200,40109107303,5,2,3,0,3,2,0,0,2,3
40109100200,40109107305,1,1,0,0,0,1,0,0,1,0
40109100200,40109107306,2,1,1,0,1,1,0,0,1,1
40109100200,40109107401,6,2,2,2,2,1,3,0,0,6
40109100200,40109107403,9,2,3,4,1,2,6,1,2,6
40109100200,40109107404,4,0,1,3,1,1,2,0,0,4
40109100200,40109107405,3,0,3,0,0,1,2,0,0,3
40109100200,40109107601,5,2,3,0,1,2,2,0,2,3
40109100200,40109107604,6,1,1,4,2,2,2,0,1,5
40109100200,40109107605,6,2,2,2,1,3,2,0,1,5
40109100200,40109107607,1,0,1,0,0,0,1,0,1,0
40109100200,40109107703,7,4,3,0,6,0,1,0,2,5
40109100200,40109107705,3,2,1,0,2,0,1,0,0,3
40109100200,40109107706,6,2,3,1,2,2,2,0,3,3
40109100200,40109107707,1,1,0,0,0,1,0,0,1,0
40109100200,40109107801,3,0,3,0,0,2,1,0,0,3
40109100200,40109107804,1,1,0,0,1,0,0,0,1,0
40109100200,40109107805,3,1,2,0,1,1,1,0,1,2
40109100200,40109107806,8,2,2,4,3,5,0,0,0,8
40109100200,40109107807,1,0,1,0,1,0,0,0,0,1
40109100200,40109107809,12,4,7,1,4,4,4,0,3,9
40109100200,40109107810,5,1,3,1,1,3,1,0,2,3
40109100200,40109107900,4,2,1,1,2,0,2,0,0,4
40109100200,40109108003,2,2,0,0,2,0,0,0,2,0
40109100200,40109108006,7,1,3,3,2,5,0,0,0,7
40109100200,40109108007,3,1,0,2,2,0,1,0,2,1
40109100200,40109108008,9,2,3,4,1,7,1,0,2,7
40109100200,40109108009,2,1,1,0,1,1,0,0,1,1
40109100200,40109108010,4,3,0,1,3,0,1,0,1,3
40109100200,40109108011,4,1,3,0,1,3,0,0,1,3
40109100200,40109108101,3,0,0,3,0,0,3,0,1,2
40109100200,40109108106,15,2,13,0,10,3,2,0,0,15
40109100200,40109108107,12,5,3,4,7,2,3,2,0,10
40109100200,40109108109,3,0,3,0,0,0,3,0,0,3
40109100200,40109108110,7,1,0,6,0,4,3,3,0,4
40109100200,40109108113,9,4,3,2,3,2,4,0,1,8
40109100200,40109108114,4,3,1,0,1,3,0,0,0,4
40109100200,40109108201,6,3,3,0,3,1,2,0,1,5
40109100200,40109108203,1,0,1,0,1,0,0,0,1,0
40109100200,40109108206,6,3,2,1,3,1,2,0,1,5
40109100200,40109108208,3,2,1,0,1,1,1,0,1,2
40109100200,40109108213,4,1,2,1,1,0,3,0,0,4
40109100200,40109108215,8,2,4,2,0,7,1,0,1,7
40109100200,40109108216,6,1,5,0,1,3,2,0,1,5
40109100200,40109108217,3,1,1,1,1,0,2,0,0,3
40109100200,40109108218,6,0,6,0,1,3,2,0,2,4
40109100200,40109108219,4,0,3,1,0,1,3,0,0,4
40109100200,40109108220,5,0,5,0,2,0,3,0,1,4
40109100200,40109108221,11,0,10,1,0,2,9,0,3,8
40109100200,40109108301,3,3,0,0,3,0,0,0,0,3
40109100200,40109108302,8,3,1,4,1,4,3,0,1,7
40109100200,40109108303,4,2,2,0,1,1,2,0,0,4
40109100200,40109108304,10,4,2,4,3,4,3,0,2,8
40109100200,40109108307,12,0,11,1,3,3,6,0,3,9
40109100200,40109108309,5,4,1,0,4,1,0,0,2,3
40109100200,40109108310,7,2,4,1,5,1,1,0,0,7
40109100200,40109108313,7,4,2,1,1,5,1,0,0,7
40109100200,40109108314,5,0,5,0,0,3,2,0,0,5
40109100200,40109108315,6,0,4,2,0,3,3,0,0,6
40109100200,40109108316,7,1,5,1,0,1,6,0,0,7
40109100200,40109108317,1,1,0,0,1,0,0,0,0,1
40109100200,40109108318,14,7,5,2,5,3,6,0,0,14
40109100200,40109108402,3,0,0,3,1,2,0,2,1,0
40109100200,40109108403,8,3,4,1,2,3,3,1,1,6
40109100200,40109108404,1,1,0,0,1,0,0,0,0,1
40109100200,40109108504,14,3,8,3,2,3,9,1,1,12
40109100200,40109108506,9,0,7,2,0,7,2,0,3,6
40109100200,40109108508,4,2,1,1,4,0,0,0,1,3
40109100200,40109108511,16,2,8,6,3,0,13,1,1,14
40109100200,40109108512,5,1,4,0,0,2,3,0,1,4
40109100200,40109108513,13,2,6,5,6,6,1,2,0,11
40109100200,40109108514,10,4,3,3,4,3,3,0,2,8
40109100200,40109108515,10,0,9,1,2,5,3,0,0,10
40109100200,40109108519,7,2,3,2,1,2,4,0,0,7
40109100200,40109108520,2,0,0,2,0,0,2,0,0,2
40109100200,40109108521,5,4,1,0,2,3,0,0,0,5
40109100200,40109108523,10,4,3,3,3,4,3,0,2,8
40109100200,40109108524,7,0,6,1,4,0,3,0,0,7
40109100200,40109108525,1,1,0,0,0,0,1,0,0,1
40109100200,40109108526,12,3,7,2,0,7,5,0,2,10
40109100200,40109108527,6,2,2,2,3,2,1,0,0,6
40109100200,40109108528,4,2,1,1,3,1,0,0,2,2
40109100200,40109108529,4,3,0,1,3,0,1,0,1,3
40109100200,40109108530,8,2,2,4,3,2,3,0,0,8
40109100200,40109108601,5,3,2,0,0,3,2,0,0,5
40109100200,40109108602,1,0,0,1,1,0,0,0,0,1
40109100200,40109108701,1,0,1,0,1,0,0,0,1,0
40109100200,40109108703,13,3,10,0,3,1,9,0,2,11
40109100200,40109108704,2,1,1,0,1,1,0,0,0,2
40109100200,40109108706,1,1,0,0,0,1,0,0,0,1
40109100200,40109108707,6,0,6,0,1,2,3,2,1,3
40109100200,40109108709,4,0,3,1,0,1,3,0,0,4
40109100200,40109108801,5,2,2,1,3,1,1,0,1,4
40109100200,40109108802,5,0,2,3,3,1,1,1,0,4
40109100200,40109108804,6,0,3,3,1,3,2,0,1,5
40109100200,40109108900,6,1,4,1,1,4,1,1,1,4
40109100200,40109109001,2,0,2,0,0,1,1,0,0,2
40109100200,40109109003,2,0,2,0,0,1,1,0,1,1
40109100200,40109109201,3,2,1,0,2,0,1,0,1,2
40109100200,40109109202,1,0,1,0,0,0,1,0,0,1
40109100300,40109100100,6,1,3,2,2,1,3,0,2,4
40109100300,40109100200,18,0,16,2,0,8,10,0,0,18
40109100300,40109100300,42,6,24,12,15,15,12,12,6,24
40109100300,40109100500,2,0,1,1,0,1,1,0,2,0
40109100300,40109100600,4,3,1,0,0,3,1,0,0,4
40109100300,40109100700,5,0,5,0,0,2,3,0,0,5
40109100300,40109100800,4,2,2,0,2,2,0,0,0,4
40109100300,40109100900,4,1,3,0,3,0,1,0,0,4
40109100300,40109101000,2,0,2,0,0,2,0,0,0,2
40109100300,40109101100,2,1,1,0,1,1,0,0,0,2
40109100300,40109101400,2,1,1,0,0,2,0,0,0,2
40109100300,40109101700,3,2,1,0,0,2,1,0,0,3
40109100300,40109101800,5,2,2,1,0,4,1,0,0,5
40109100300,40109101900,2,0,2,0,2,0,0,0,1,1
40109100300,40109102000,4,2,2,0,0,4,0,0,0,4
40109100300,40109102100,5,1,2,2,2,0,3,0,0,5
40109100300,40109102200,3,0,0,3,0,3,0,0,0,3
40109100300,40109102400,4,3,1,0,2,0,2,0,0,4
40109100300,40109102900,1,1,0,0,1,0,0,0,0,1
40109100300,40109103200,2,2,0,0,0,2,0,0,0,2
40109100300,40109103500,1,0,0,1,0,1,0,0,0,1
40109100300,40109103900,2,1,1,0,0,0,2,0,1,1
40109100300,40109104100,1,0,1,0,0,1,0,0,0,1
40109100300,40109104300,1,1,0,0,0,1,0,0,0,1
40109100300,40109104400,6,0,6,0,0,0,6,0,0,6
40109100300,40109104500,8,0,8,0,0,3,5,0,0,8
40109100300,40109104900,2,2,0,0,1,0,1,0,1,1
40109100300,40109105000,2,2,0,0,0,0,2,0,0,2
