"work_tract","C000","CA01","CA02","CA03","CE01","CE02","CE03","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20","CR01","CR02","CR03","CR04","CR05","CR07","CT01","CT02","CD01","CD02","CD03","CD04","CS01","CS02","CFA01","CFA02","CFA03","CFA04","CFA05","CFS01","CFS02","CFS03","CFS04","CFS05","createdate"
"40013796500",448,58,286,104,31,226,191,0,3,0,35,61,13,15,0,0,3,5,18,0,0,0,9,0,0,0,286,370,4,53,4,0,17,431,17,49,135,138,68,360,88,0,0,0,0,0,0,0,0,0,0,403418380
"40013796600",406,62,214,130,94,167,145,17,0,1,3,37,0,67,13,0,16,0,0,0,13,161,41,0,4,3,30,346,20,30,3,0,7,385,21,46,128,96,74,179,227,0,0,0,0,0,0,0,0,0,0,484102056
"40015161600",1582,450,789,343,357,755,470,76,114,94,77,22,21,186,1,43,52,3,29,0,65,198,84,296,93,20,108,1258,51,219,6,2,46,1388,194,181,343,400,208,795,787,0,0,0,0,0,0,0,0,0,0,1270767897
"40015161700",365,77,181,107,86,176,103,67,1,28,15,0,25,11,9,1,2,0,146,0,13,0,9,0,2,3,33,332,8,15,1,1,8,339,26,40,97,91,60,204,161,0,0,0,0,0,0,0,0,0,0,625298489
"40015161800",882,176,491,215,225,366,291,32,6,20,187,14,79,36,3,37,20,0,2,0,0,99,134,6,46,2,159,660,21,171,8,0,22,731,151,122,234,219,131,464,418,0,0,0,0,0,0,0,0,0,0,625298489
"40015161900",320,42,161,117,59,145,116,1,4,0,1,11,7,11,0,0,40,0,8,0,0,195,3,0,9,5,25,282,3,26,1,0,8,307,13,20,81,84,93,126,194,0,0,0,0,0,0,0,0,0,0,302563785
"40015162000",306,68,154,84,95,129,82,10,9,33,10,15,0,14,1,0,0,0,30,0,1,30,96,48,6,0,3,202,14,76,1,0,13,284,22,34,69,73,62,141,165,0,0,0,0,0,0,0,0,0,0,423589299
"40015162100",3027,597,1582,848,665,1361,1001,3,8,339,98,6,1,309,6,19,63,36,53,18,48,274,401,198,267,37,843,1815,137,905,29,4,137,2747,280,250,846,788,546,1360,1667,0,0,0,0,0,0,0,0,0,0,1593502601
"40015162200",284,41,162,81,77,119,88,0,0,0,12,0,51,69,1,2,13,0,0,0,2,83,9,0,5,9,28,215,2,53,1,1,12,265,19,28,96,60,59,131,153,0,0,0,0,0,0,0,0,0,0,403418380
"40015162300",372,57,207,108,85,136,151,1,90,0,12,10,1,54,18,7,11,0,1,0,0,105,6,0,0,26,30,343,6,15,0,0,8,347,25,38,112,91,74,203,169,0,0,0,0,0,0,0,0,0,0,564785732
"40017300100",689,189,387,113,157,239,293,12,48,2,312,14,4,64,74,0,0,7,8,0,14,47,3,0,71,9,0,587,18,57,3,1,23,624,65,73,205,152,70,492,197,0,0,0,0,0,0,0,0,0,0,847178598
"40017300201",1168,282,654,232,335,394,439,0,72,4,159,11,21,31,31,9,28,20,30,2,159,372,99,7,62,14,37,999,72,43,23,0,31,1061,107,119,231,293,243,565,603,0,0,0,0,0,0,0,0,0,0,1109400545
"40017300202",3054,673,1633,748,574,1373,1107,48,124,23,225,319,160,122,22,3,20,3,82,0,73,403,206,505,110,36,570,2095,109,707,43,2,98,2624,430,383,791,775,432,1698,1356,0,0,0,0,0,0,0,0,0,0,1674186277
"40017300300",440,96,202,142,100,219,121,0,2,5,13,8,32,42,3,33,44,1,142,8,10,0,58,0,20,19,0,398,11,10,3,1,17,413,27,34,96,122,92,169,271,0,0,0,0,0,0,0,0,0,0,504272975
"40017300400",812,152,470,190,116,398,298,0,0,0,73,0,0,52,15,0,5,2,0,0,0,0,22,0,36,5,602,707,48,32,4,0,21,762,50,71,204,248,137,431,381,0,0,0,0,0,0,0,0,0,0,221880109
"40017300500",810,190,426,194,188,302,320,0,0,0,11,36,6,97,0,0,27,0,2,3,0,453,105,0,37,1,32,727,29,30,4,0,20,757,53,67,168,217,168,252,558,0,0,0,0,0,0,0,0,0,0,504272975
"40017300600",589,162,302,125,153,220,216,0,3,2,22,239,19,44,45,7,22,15,13,0,0,0,5,0,137,16,0,498,31,28,10,0,22,532,57,70,158,129,70,393,196,0,0,0,0,0,0,0,0,0,0,403418380
"40017300700",3026,687,1631,708,678,1026,1322,9,467,5,166,321,242,526,83,20,29,71,34,0,39,403,265,0,252,42,52,2576,188,141,50,6,65,2779,247,347,764,746,482,1824,1202,0,0,0,0,0,0,0,0,0,0,1270767897
"40017300801",1026,218,581,227,216,423,387,57,36,27,316,103,48,44,68,12,29,9,22,0,106,5,58,0,19,51,16,889,59,40,23,1,14,904,122,145,262,247,154,716,310,0,0,0,0,0,0,0,0,0,0,1593502601
"40017300802",232,88,93,51,78,93,61,0,6,0,14,2,6,8,6,0,11,0,25,0,39,0,82,27,3,3,0,212,13,2,2,0,3,214,18,16,38,41,49,120,112,0,0,0,0,0,0,0,0,0,0,363076542
"40017300901",372,98,199,75,125,138,109,0,38,0,66,23,12,34,3,0,6,14,28,0,13,0,63,43,20,9,0,332,16,10,8,0,6,322,50,64,75,83,52,211,161,0,0,0,0,0,0,0,0,0,0,685811246
"40017300902",360,82,194,84,120,109,131,0,2,0,61,6,25,121,6,0,32,4,33,0,4,4,12,0,1,49,0,318,14,20,5,0,3,337,23,25,89,97,67,191,169,0,0,0,0,0,0,0,0,0,0,302563785
"40017300904",87,18,51,18,30,38,19,0,1,0,3,0,2,4,30,0,4,10,1,0,1,2,25,1,0,3,0,69,5,5,3,0,5,79,8,13,26,15,15,43,44,0,0,0,0,0,0,0,0,0,0,302563785
"40017300905",395,97,219,79,124,197,74,0,1,0,27,0,25,31,0,1,8,6,37,0,7,64,161,0,25,2,0,323,31,16,7,0,18,362,33,46,75,99,78,126,269,0,0,0,0,0,0,0,0,0,0,524443894
"40017301001",5641,1146,3355,1140,498,2381,2762,0,478,87,225,3031,615,233,410,13,0,146,51,95,23,0,21,0,105,108,0,4400,611,217,248,7,158,4883,758,770,1458,1459,808,4372,1269,0,0,0,0,0,0,0,0,0,0,322734704
"40017301003",1180,486,523,171,396,633,151,0,2,0,57,49,5,73,10,39,25,4,20,0,693,0,67,30,100,6,0,876,195,47,14,2,46,1106,74,94,239,242,119,519,661,0,0,0,0,0,0,0,0,0,0,524443894
"40017301006",795,201,432,162,212,286,297,0,7,0,16,275,59,66,6,7,0,1,6,0,1,0,37,0,253,61,0,603,107,36,33,1,15,723,72,106,201,192,95,533,262,0,0,0,0,0,0,0,0,0,0,342905623
"40017301007",766,273,367,126,275,315,176,0,21,0,32,9,53,51,1,0,13,15,21,5,66,4,316,0,140,19,0,603,91,35,18,0,19,719,47,58,148,181,106,275,491,0,0,0,0,0,0,0,0,0,0,342905623
"40017301008",625,138,374,113,120,274,231,1,14,0,115,131,49,19,5,4,11,20,92,2,135,1,15,0,0,11,0,512,50,24,18,0,21,545,80,72,137,172,106,418,207,0,0,0,0,0,0,0,0,0,0,443760218
"40017301009",162,58,79,25,56,69,37,0,2,0,32,11,9,1,10,0,0,32,15,0,4,0,18,0,20,8,0,145,3,7,2,2,3,145,17,23,33,31,17,88,74,0,0,0,0,0,0,0,0,0,0,342905623
"40017301100",1086,308,572,206,358,413,315,0,248,0,110,22,14,89,1,0,39,12,56,0,33,0,244,12,193,13,0,927,53,48,21,5,32,993,93,104,244,255,175,581,505,0,0,0,0,0,0,0,0,0,0,605127570
"40017301201",1880,463,969,448,564,476,840,0,1,18,43,15,10,175,2,20,102,0,62,0,19,926,70,64,146,43,164,1704,46,62,24,0,44,1797,83,102,406,474,435,679,1201,0,0,0,0,0,0,0,0,0,0,705982165
"40017301202",1079,405,506,168,463,459,157,0,3,0,5,1,11,363,1,0,88,6,69,0,152,0,67,0,300,13,0,902,82,40,21,3,31,982,97,113,210,230,121,540,539,0,0,0,0,0,0,0,0,0,0,443760218
"40017301300",2759,1012,1258,489,1011,1165,583,1,89,0,152,65,124,919,50,4,63,21,133,64,58,4,253,15,558,186,0,2292,239,115,48,4,61,2532,227,244,597,603,303,1404,1355,0,0,0,0,0,0,0,0,0,0,1391793411
