FID,h_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,createdate
1,401091001001001,53,15,21,17,17,21,15,0,2,0,3,5,0,5,3,0,0,1,1,1,6,3,8,4,5,2,4,49,3,1,0,0,0,49,4,6,8,17,7,22,31,20170919
2,401091001001002,18,4,11,3,7,5,6,0,0,0,1,2,0,1,0,1,0,0,3,0,2,2,1,0,2,1,2,15,2,1,0,0,0,18,0,1,3,5,5,12,6,20170919
3,401091001001003,13,5,7,1,1,8,4,0,1,0,0,1,0,2,0,0,1,0,2,0,0,1,2,0,3,0,0,10,3,0,0,0,0,11,2,2,1,3,2,7,6,20170919
4,401091001001004,23,8,12,3,5,6,12,0,1,0,1,3,1,2,1,0,2,0,0,0,5,1,3,0,2,0,1,23,0,0,0,0,0,22,1,0,5,4,6,8,15,20170919
5,401091001001006,36,9,21,6,3,19,14,0,3,0,6,5,1,0,1,0,2,1,2,0,1,2,6,0,4,1,1,30,4,0,1,0,1,32,4,4,6,10,7,15,21,20170919
6,401091001001007,5,1,3,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,5,0,0,0,0,0,5,0,0,2,1,1,3,2,20170919
7,401091001001012,26,4,19,3,2,10,14,0,0,1,2,4,0,2,0,0,0,0,0,0,1,2,4,0,3,2,5,24,0,0,0,0,2,25,1,2,8,6,6,16,10,20170919
8,401091001001026,10,2,7,1,1,6,3,0,1,0,1,3,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,7,3,0,0,0,0,10,0,0,2,5,1,4,6,20170919
9,401091001001027,6,2,3,1,1,2,3,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,6,0,0,1,2,1,4,2,20170919
10,401091001001028,16,5,9,2,3,5,8,0,0,0,0,3,1,1,1,1,0,0,3,0,2,0,0,0,2,2,0,12,2,2,0,0,0,15,1,1,2,5,3,8,8,20170919
11,401091001001029,18,3,11,4,4,8,6,0,0,0,1,1,0,4,0,0,0,0,1,0,4,2,2,0,0,0,3,14,3,0,1,0,0,18,0,1,4,6,4,5,13,20170919
12,401091001001030,19,3,10,6,6,9,4,0,1,0,2,0,0,0,1,1,1,0,1,0,1,2,1,1,3,0,4,15,3,0,1,0,0,19,0,2,2,9,3,10,9,20170919
13,401091001001033,4,0,2,2,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,0,1,0,0,4,0,1,1,1,1,3,1,20170919
14,401091001001034,22,6,11,5,6,12,4,0,1,0,2,3,0,3,0,0,1,0,1,1,0,1,6,1,1,0,1,20,2,0,0,0,0,22,0,1,7,5,3,7,15,20170919
15,401091001001035,21,3,17,1,5,10,6,0,1,0,1,1,0,4,0,1,3,0,0,0,0,2,6,0,0,1,1,17,3,0,0,0,1,21,0,5,6,3,4,6,15,20170919
16,401091001001037,19,8,9,2,5,7,7,0,1,0,1,5,0,0,0,1,0,2,1,0,3,0,2,0,3,0,0,18,1,0,0,0,0,16,3,3,7,0,1,9,10,20170919
17,401091001001038,14,7,3,4,5,9,0,0,0,0,0,4,0,2,0,1,0,1,0,0,1,0,1,2,2,0,0,10,1,1,0,0,2,8,6,2,2,2,1,8,6,20170919
18,401091001001039,278,78,156,44,52,146,80,0,7,0,13,50,12,27,7,1,7,6,17,3,17,17,32,4,33,8,17,171,44,6,52,0,5,238,40,26,59,56,59,131,147,20170919
19,401091001001042,15,2,10,3,5,3,7,0,1,0,0,1,0,2,0,0,0,1,2,0,1,0,3,1,3,0,0,9,1,5,0,0,0,10,5,1,5,5,2,9,6,20170919
20,401091001001043,47,17,22,8,11,23,13,0,1,0,5,9,1,3,0,1,2,0,4,1,2,3,6,0,5,4,0,34,4,8,1,0,0,42,5,5,8,8,9,26,21,20170919
21,401091001001044,29,5,19,5,6,14,9,0,1,0,1,4,1,2,0,0,1,1,1,0,5,1,6,0,5,0,0,24,5,0,0,0,0,26,3,8,6,6,4,17,12,20170919
22,401091001001047,15,6,6,3,2,8,5,0,1,0,0,5,1,1,0,0,1,0,0,0,2,0,1,1,2,0,0,9,5,0,1,0,0,15,0,1,3,3,2,3,12,20170919
23,401091001001048,17,3,8,6,3,9,5,0,2,0,0,2,2,1,0,1,0,0,2,0,1,1,0,0,1,1,3,15,1,0,0,0,1,16,1,0,4,3,7,12,5,20170919
24,401091001002000,18,5,10,3,3,9,6,0,1,0,1,1,0,3,0,0,1,0,1,1,0,0,7,1,0,0,1,13,4,1,0,0,0,17,1,1,3,5,4,7,11,20170919
25,401091001002001,17,2,9,6,3,8,6,0,1,0,1,2,1,1,1,0,0,0,4,0,1,1,1,0,1,1,1,13,2,1,1,0,0,17,0,1,1,11,2,7,10,20170919
26,401091001002002,7,4,2,1,1,4,2,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,7,0,0,0,0,0,6,1,0,1,1,1,6,1,20170919
27,401091001002003,13,4,8,1,1,7,5,0,1,1,0,1,0,1,0,1,1,0,0,0,0,3,1,1,1,0,1,13,0,0,0,0,0,13,0,2,0,3,4,4,9,20170919
28,401091001002004,12,3,8,1,3,6,3,0,0,0,0,1,1,0,0,0,0,0,2,1,0,1,2,0,2,2,0,11,1,0,0,0,0,11,1,0,1,4,4,8,4,20170919
29,401091001002005,21,9,7,5,3,8,10,0,0,0,1,1,1,2,0,1,0,0,2,0,2,2,5,0,2,0,2,20,1,0,0,0,0,20,1,2,2,4,4,6,15,20170919
30,401091001002006,19,5,11,3,2,7,10,0,3,0,0,3,0,2,0,0,3,0,0,0,1,0,3,0,3,1,0,19,0,0,0,0,0,19,0,1,3,4,6,12,7,20170919
31,401091001002007,16,4,9,3,7,3,6,0,0,0,0,0,1,2,0,1,0,0,5,0,1,0,2,0,3,1,0,12,2,1,0,0,1,14,2,1,2,4,5,9,7,20170919
32,401091001002008,24,6,17,1,4,17,3,0,1,0,3,2,0,2,0,0,1,0,2,0,1,2,3,1,4,1,1,18,2,3,0,0,1,21,3,3,3,6,6,13,11,20170919
33,401091001002009,25,3,17,5,3,17,5,0,0,1,1,2,0,3,0,3,0,0,1,0,2,1,2,1,6,0,2,19,6,0,0,0,0,25,0,0,8,9,5,14,11,20170919
34,401091001002010,17,6,8,3,7,1,9,0,1,0,3,1,0,0,0,0,1,0,3,0,2,1,3,1,1,0,0,17,0,0,0,0,0,15,2,1,5,3,2,10,7,20170919
35,401091001002011,19,3,13,3,2,7,10,0,1,0,4,1,1,2,0,0,0,0,1,0,2,1,2,0,3,0,1,16,0,2,0,0,1,17,2,2,2,6,6,11,8,20170919
36,401091001002012,7,2,4,1,1,2,4,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,4,0,2,0,0,1,7,0,0,0,5,0,3,4,20170919
37,401091001002013,28,13,11,4,4,15,9,0,1,0,3,2,0,2,2,1,2,1,1,3,1,4,2,0,3,0,0,23,1,1,2,0,1,27,1,2,4,5,4,15,13,20170919
38,401091001002014,30,7,17,6,6,17,7,0,2,0,2,3,3,2,0,0,0,1,3,1,2,0,2,0,6,1,2,26,1,1,1,0,1,29,1,2,7,7,7,14,16,20170919
39,401091001002016,8,3,4,1,1,4,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,1,1,1,8,0,0,0,0,0,8,0,1,2,0,2,5,3,20170919
40,401091001002017,5,0,5,0,1,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,5,0,1,0,3,1,4,1,20170919
41,401091001002018,13,2,9,2,2,2,9,0,1,1,0,0,1,0,1,0,1,0,1,2,0,3,1,0,1,0,0,11,0,1,0,0,1,13,0,1,4,0,6,4,9,20170919
42,401091001002019,15,3,9,3,5,5,5,0,0,0,0,0,0,3,1,0,0,1,1,0,0,3,5,0,1,0,0,14,0,1,0,0,0,15,0,1,4,6,1,5,10,20170919
43,401091001002021,12,4,7,1,1,6,5,0,0,0,1,1,0,2,0,0,1,1,0,0,2,0,2,1,1,0,0,11,1,0,0,0,0,10,2,1,1,3,3,4,8,20170919
44,401091001002022,18,7,9,2,4,10,4,0,0,0,0,3,0,2,0,0,1,0,2,0,2,2,3,0,2,0,1,18,0,0,0,0,0,18,0,3,1,5,2,4,14,20170919
45,401091001003000,30,14,11,5,8,15,7,0,1,0,2,5,0,2,0,1,1,0,3,0,0,4,1,1,6,1,2,23,5,0,0,0,2,29,1,1,4,7,4,13,17,20170919
46,401091001003001,16,5,9,2,4,8,4,0,0,2,1,4,1,2,0,0,0,0,1,0,1,0,0,1,3,0,0,11,1,1,3,0,0,16,0,3,2,2,4,5,11,20170919
47,401091001003003,31,3,20,8,9,10,12,0,1,0,0,3,0,2,0,0,0,1,3,0,4,4,7,1,2,0,3,27,2,2,0,0,0,29,2,4,3,14,7,16,15,20170919
48,401091001003005,24,9,12,3,2,14,8,0,1,2,4,0,0,0,2,0,1,1,0,0,1,4,2,0,3,1,2,16,2,2,1,0,3,21,3,1,6,3,5,12,12,20170919
49,401091001003006,26,9,12,5,4,10,12,0,2,0,2,2,0,3,1,1,1,0,1,0,0,2,9,0,1,1,0,25,0,0,0,0,1,26,0,2,5,5,5,13,13,20170919
50,401091001003007,33,12,12,9,12,12,9,0,0,0,2,3,2,3,1,1,0,1,4,0,5,0,4,0,4,0,3,31,0,0,1,0,1,33,0,1,6,7,7,17,16,20170919
51,401091001003008,26,6,9,11,4,12,10,0,1,0,0,6,0,2,0,0,0,1,2,0,2,3,6,2,1,0,0,22,2,1,1,0,0,17,9,8,3,3,6,12,14,20170919
52,401091001003009,26,7,18,1,6,11,9,0,0,1,3,0,2,2,2,0,1,0,1,0,1,2,3,0,7,0,1,23,2,0,0,0,1,22,4,4,3,7,5,11,15,20170919
53,401091001003010,11,0,11,0,1,1,9,0,0,0,0,1,0,1,0,0,2,0,2,1,1,0,1,0,0,1,1,10,1,0,0,0,0,11,0,3,3,1,4,7,4,20170919
54,401091001003011,16,2,10,4,3,8,5,0,0,0,1,2,3,0,0,0,0,0,1,0,1,1,2,0,3,1,1,12,1,1,1,0,1,16,0,1,5,6,2,10,6,20170919
55,401091001003012,15,1,12,2,2,9,4,0,0,0,2,3,0,2,0,0,0,1,0,0,0,1,3,0,2,0,1,8,6,0,1,0,0,14,1,5,4,3,2,9,6,20170919
56,401091001003013,7,1,6,0,1,0,6,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,0,1,0,0,6,0,0,0,0,1,7,0,1,1,4,0,4,3,20170919
57,401091001003014,16,3,8,5,4,7,5,0,0,0,1,3,0,0,0,0,0,1,1,0,1,0,3,1,3,0,2,13,3,0,0,0,0,15,1,3,5,3,2,10,6,20170919
58,401091001003015,18,2,11,5,2,6,10,0,1,1,0,2,0,1,0,0,0,0,1,1,1,4,2,0,2,1,1,16,1,1,0,0,0,18,0,1,2,7,6,9,9,20170919
59,401091001003016,18,7,8,3,3,11,4,0,0,0,0,4,0,2,0,1,0,0,2,0,1,4,1,0,1,1,1,16,0,0,1,0,1,16,2,2,2,5,2,11,7,20170919
60,401091001003018,15,3,6,6,1,12,2,0,0,0,1,7,0,0,0,0,0,1,0,1,0,1,1,1,2,0,0,12,1,0,0,0,2,14,1,1,7,2,2,2,13,20170919
61,401091001003019,26,7,11,8,9,12,5,0,0,0,0,6,3,6,0,0,0,0,1,0,1,1,2,2,2,0,2,21,2,3,0,0,0,24,2,3,3,10,3,11,15,20170919
62,401091001003020,7,1,5,1,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,4,0,0,2,0,1,7,0,1,2,1,2,4,3,20170919
63,401091001003021,24,10,12,2,5,11,8,0,3,0,1,3,0,0,0,0,1,0,1,0,3,2,6,0,3,1,0,22,1,1,0,0,0,22,2,3,4,4,3,12,12,20170919
64,401091001003022,37,17,14,6,11,9,17,0,0,0,2,4,1,4,1,0,0,0,5,0,2,2,3,3,5,2,3,35,2,0,0,0,0,35,2,2,7,7,4,23,14,20170919
65,401091001003023,19,3,15,1,5,9,5,0,0,0,0,2,1,1,1,1,0,0,1,1,1,4,1,1,3,1,0,15,1,3,0,0,0,13,6,7,6,3,0,10,9,20170919
66,401091001003026,20,4,13,3,5,10,5,0,0,0,0,4,0,4,1,1,1,1,1,0,3,1,2,0,0,0,1,13,7,0,0,0,0,19,1,1,4,5,6,11,9,20170919
67,401091001003027,9,3,5,1,3,4,2,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,8,0,0,1,0,0,9,0,1,1,3,1,3,6,20170919
68,401091001003028,4,1,2,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,1,4,0,0,1,0,2,0,4,20170919
69,401091001003029,23,9,7,7,7,10,6,0,1,0,0,3,0,0,0,0,1,0,1,0,1,4,5,0,5,1,1,15,5,0,0,0,3,23,0,1,4,4,5,10,13,20170919
70,401091001003030,10,2,4,4,1,7,2,0,0,0,0,1,1,2,0,0,0,1,1,0,4,0,0,0,0,0,0,8,1,0,1,0,0,9,1,1,2,1,4,7,3,20170919
71,401091001003031,18,7,8,3,4,9,5,0,0,0,0,2,0,3,1,0,0,0,0,0,1,0,7,2,1,1,0,10,5,0,2,0,1,16,2,1,2,6,2,9,9,20170919
72,401091001003032,38,7,25,6,6,21,11,0,0,0,7,2,0,3,0,2,1,2,0,0,3,6,6,1,3,2,0,27,4,5,1,1,0,38,0,4,7,13,7,15,23,20170919
73,401091001003033,12,3,7,2,2,6,4,0,1,0,0,2,0,3,1,0,0,0,1,0,1,2,1,0,0,0,0,10,2,0,0,0,0,12,0,1,4,3,1,3,9,20170919
74,401091001003034,38,11,20,7,9,18,11,0,0,0,3,2,0,5,1,1,0,0,2,2,3,6,3,1,7,0,2,35,1,0,2,0,0,38,0,2,14,6,5,17,21,20170919
75,401091001003035,11,3,4,4,2,4,5,0,0,0,1,2,1,0,0,0,0,0,3,1,1,1,0,0,1,0,0,8,1,0,0,0,2,10,1,0,0,6,2,6,5,20170919
76,401091001003036,18,5,12,1,3,9,6,0,1,0,2,2,2,0,0,0,0,0,0,1,0,1,3,0,3,1,2,12,1,2,3,0,0,16,2,3,4,2,4,8,10,20170919
77,401091001003037,8,2,4,2,1,4,3,0,0,0,1,0,1,2,0,0,0,0,0,0,1,1,1,0,1,0,0,8,0,0,0,0,0,7,1,2,0,3,1,6,2,20170919
78,401091002001000,26,6,16,4,3,10,13,0,2,0,2,2,1,1,0,0,1,0,4,0,1,1,8,0,2,0,1,20,0,1,1,0,4,20,6,3,9,5,3,11,15,20170919
79,401091002001001,19,6,10,3,7,6,6,0,1,0,1,2,0,4,0,0,0,1,1,0,2,4,0,0,2,1,0,13,4,0,1,0,1,17,2,3,3,4,3,9,10,20170919
80,401091002001002,83,19,52,12,16,37,30,0,1,0,2,7,2,10,2,2,4,2,4,1,3,6,11,1,16,5,4,62,10,5,3,0,3,79,4,11,25,20,8,37,46,20170919
81,401091002001003,4,1,2,1,0,2,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,4,0,1,1,0,1,4,0,20170919
82,401091002001005,13,3,6,4,2,4,7,0,1,0,1,1,0,1,0,0,0,0,0,0,2,2,4,0,1,0,0,12,1,0,0,0,0,10,3,2,5,2,1,7,6,20170919
83,401091002001006,14,3,9,2,3,8,3,0,3,0,1,1,0,2,0,0,0,0,1,0,1,1,2,0,2,0,0,12,0,0,1,0,1,14,0,2,4,3,2,5,9,20170919
84,401091002001007,15,2,12,1,5,5,5,0,0,1,0,3,0,1,1,0,0,0,1,0,2,2,2,0,2,0,0,9,2,0,4,0,0,12,3,3,1,5,4,5,10,20170919
85,401091002001008,7,2,4,1,0,3,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,6,0,0,0,0,1,7,0,1,0,2,2,4,3,20170919
86,401091002001012,63,13,40,10,18,24,21,0,3,0,2,3,2,4,1,1,2,2,5,0,5,11,9,1,8,2,2,45,12,0,5,0,1,53,10,12,15,12,11,30,33,20170919
87,401091002001013,14,5,8,1,5,4,5,0,0,1,1,0,1,1,0,0,1,0,1,0,0,3,2,0,3,0,0,9,4,0,0,0,1,13,1,1,3,3,2,10,4,20170919
88,401091002001014,19,6,7,6,6,8,5,0,1,0,0,0,1,4,0,0,2,0,1,0,3,3,1,1,2,0,0,15,1,0,3,0,0,16,3,2,3,4,4,7,12,20170919
89,401091002001015,24,8,11,5,5,10,9,0,1,1,2,1,1,2,0,0,2,0,1,0,0,2,3,0,6,0,2,17,3,1,0,0,3,22,2,2,6,5,3,17,7,20170919
90,401091002001016,12,4,6,2,4,5,3,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,2,1,2,0,1,6,2,0,4,0,0,11,1,2,1,5,0,10,2,20170919
91,401091002001017,31,2,19,10,5,19,7,0,0,0,1,2,2,2,2,1,1,0,2,0,5,3,6,0,2,1,1,24,7,0,0,0,0,30,1,1,6,11,11,13,18,20170919
92,401091002002000,5,0,4,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,3,0,1,1,0,0,5,0,0,2,1,2,2,3,20170919
93,401091002002001,10,1,8,1,0,4,6,0,0,0,2,3,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,7,0,1,2,0,0,9,1,1,4,2,2,6,4,20170919
94,401091002002002,9,3,5,1,1,7,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,2,0,2,0,0,5,3,1,0,0,0,8,1,0,3,2,1,5,4,20170919
95,401091002002003,178,55,91,32,58,87,33,1,3,1,9,5,2,24,6,2,10,2,6,6,13,12,27,1,30,7,11,131,27,11,2,0,7,95,83,28,36,37,22,87,91,20170919
96,401091002002004,43,11,22,10,9,16,18,0,4,0,0,1,1,5,0,0,0,1,3,0,7,3,9,0,6,0,3,41,0,0,1,0,1,42,1,5,7,7,13,22,21,20170919
97,401091002002005,7,4,1,2,2,4,1,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,1,0,1,0,0,5,0,0,1,0,1,7,0,0,1,1,1,4,3,20170919
98,401091002002006,4,0,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3,1,0,0,0,0,4,0,0,1,1,2,3,1,20170919
99,401091002002007,13,5,5,3,4,7,2,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1,3,0,3,1,0,11,1,1,0,0,0,11,2,1,2,3,2,5,8,20170919
100,401091002002008,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,20170919
101,401091002002009,18,7,6,5,3,6,9,0,1,0,1,1,1,2,0,0,1,0,1,1,0,0,3,0,1,2,3,14,4,0,0,0,0,16,2,2,4,3,2,10,8,20170919
102,401091002002010,7,3,4,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,1,1,5,0,0,2,0,0,6,1,1,1,1,1,3,4,20170919
103,401091002002011,30,6,18,6,10,14,6,0,0,0,1,0,2,4,1,0,0,1,2,1,5,5,7,0,1,0,0,23,6,0,0,0,1,29,1,4,10,8,2,15,15,20170919
104,401091002002012,28,5,17,6,5,13,10,0,0,0,0,1,0,5,2,0,0,1,2,0,2,4,2,0,4,1,4,24,1,3,0,0,0,24,4,5,10,4,4,12,16,20170919
105,401091002002013,23,5,16,2,5,10,8,0,0,0,1,0,0,3,0,0,1,0,3,0,1,4,4,0,4,0,2,21,2,0,0,0,0,17,6,8,4,2,4,13,10,20170919
106,401091002002014,28,6,18,4,9,10,9,0,1,0,1,2,2,4,1,0,0,0,1,1,1,4,7,0,2,0,1,25,2,1,0,0,0,25,3,1,8,8,5,15,13,20170919
107,401091002002015,11,3,7,1,2,3,6,0,1,0,0,0,1,3,0,0,0,0,0,0,0,2,1,0,1,1,1,11,0,0,0,0,0,10,1,1,4,2,1,3,8,20170919
108,401091002002016,13,1,11,1,2,3,8,0,0,0,0,0,1,0,1,1,2,0,0,0,0,4,1,0,3,0,0,9,3,1,0,0,0,13,0,0,0,9,3,5,8,20170919
109,401091002002017,23,8,12,3,7,4,12,0,2,0,0,1,2,3,0,0,0,0,2,1,2,2,4,2,1,1,0,21,2,0,0,0,0,21,2,3,3,5,4,11,12,20170919
110,401091002003000,40,13,21,6,9,13,18,0,2,0,2,2,1,4,1,1,3,0,3,0,4,4,6,0,3,2,2,37,1,1,0,0,1,37,3,2,10,12,3,23,17,20170919
111,401091002003001,16,5,7,4,5,6,5,0,1,0,0,1,2,1,0,0,2,0,0,0,3,3,0,0,1,0,2,13,1,1,1,0,0,15,1,1,2,6,2,7,9,20170919
112,401091002003002,14,4,7,3,2,6,6,0,1,1,1,2,0,1,0,0,1,0,0,0,3,1,1,0,1,0,1,11,3,0,0,0,0,13,1,0,2,5,3,7,7,20170919
113,401091002003003,30,7,17,6,6,13,11,0,0,1,2,3,1,3,0,1,1,0,3,1,2,1,5,0,1,1,4,21,7,0,0,0,2,30,0,3,6,11,3,15,15,20170919
114,401091002003004,21,3,13,5,4,12,5,0,0,0,0,0,0,3,1,0,1,0,0,0,1,2,7,1,2,1,2,14,6,0,0,0,1,19,2,2,5,8,3,7,14,20170919
115,401091002003005,60,15,36,9,11,27,22,0,1,0,2,2,2,6,1,0,1,2,1,0,4,7,14,0,7,1,9,37,13,4,5,0,1,55,5,3,13,9,20,30,30,20170919
116,401091002003006,11,6,4,1,3,4,4,0,1,0,0,3,0,1,2,0,1,0,0,0,1,1,1,0,0,0,0,10,1,0,0,0,0,10,1,0,3,2,0,8,3,20170919
117,401091002003007,7,1,4,2,2,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,7,0,0,0,0,0,7,0,0,2,2,2,1,6,20170919
118,401091002003009,22,6,10,6,3,12,7,0,0,0,0,6,1,0,0,0,1,1,2,2,4,0,1,1,1,2,0,14,1,1,5,0,1,22,0,4,3,6,3,14,8,20170919
119,401091002003010,11,1,5,5,2,5,4,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0,3,0,0,0,0,10,1,0,0,0,0,7,4,2,1,7,0,4,7,20170919
120,401091002003011,9,1,5,3,3,2,4,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2,0,1,0,2,6,0,1,1,0,1,9,0,0,1,4,3,3,6,20170919
121,401091002003012,27,9,13,5,9,6,12,0,2,2,0,2,1,5,1,0,1,0,3,0,1,1,3,0,4,1,0,25,1,0,1,0,0,23,4,1,6,6,5,17,10,20170919
122,401091002003013,16,4,12,0,5,4,7,0,1,2,0,1,2,1,1,0,1,0,1,0,1,0,4,0,1,0,0,11,1,0,4,0,0,15,1,0,3,4,5,11,5,20170919
123,401091002003014,17,3,12,2,4,4,9,0,3,0,0,1,0,3,0,1,2,0,0,0,2,1,3,0,1,0,0,14,2,0,1,0,0,17,0,1,4,1,8,10,7,20170919
124,401091002003015,4,0,2,2,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,1,1,0,0,0,4,0,0,1,3,0,1,3,20170919
125,401091002003016,7,0,5,2,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,1,0,0,0,6,0,0,0,0,1,7,0,0,3,2,2,3,4,20170919
126,401091002003017,21,6,12,3,6,7,8,0,1,0,0,1,0,2,0,1,1,0,2,0,3,2,5,1,1,1,0,15,4,0,1,0,1,21,0,2,4,7,2,11,10,20170919
127,401091002003018,32,11,14,7,10,15,7,0,0,1,0,2,0,9,0,0,1,0,2,0,4,2,4,0,5,1,1,20,7,2,2,0,1,32,0,3,10,4,4,15,17,20170919
128,401091002003019,24,7,13,4,7,10,7,0,2,0,1,1,2,3,1,1,0,0,4,1,0,3,2,0,2,1,0,18,4,0,1,0,1,23,1,5,5,7,0,9,15,20170919
129,401091002003020,14,4,10,0,2,7,5,0,1,0,1,0,0,0,0,0,1,0,2,0,1,1,4,1,1,1,0,9,2,0,1,0,2,13,1,3,2,4,1,4,10,20170919
130,401091002003021,9,4,4,1,4,2,3,0,0,0,0,2,0,1,1,0,0,0,1,0,0,1,2,0,1,0,0,8,0,1,0,0,0,9,0,0,0,3,2,5,4,20170919
131,401091002003022,43,7,28,8,7,18,18,0,1,0,0,4,3,4,0,0,1,2,3,2,3,4,5,1,6,1,3,34,5,2,2,0,0,38,5,9,10,6,11,21,22,20170919
132,401091002003023,20,5,10,5,5,4,11,0,1,0,1,0,0,1,0,0,3,0,1,1,3,2,3,1,0,2,1,11,3,3,1,0,2,19,1,2,2,3,8,9,11,20170919
133,401091002003024,12,4,7,1,6,3,3,0,0,0,0,0,0,1,0,0,1,0,3,0,1,1,5,0,0,0,0,8,3,0,0,0,1,10,2,3,3,2,0,8,4,20170919
134,401091002003025,24,3,19,2,6,8,10,0,1,0,1,1,0,2,1,1,1,0,1,2,0,5,1,0,4,1,2,19,3,1,1,0,0,24,0,0,8,9,4,7,17,20170919
135,401091002004000,18,4,11,3,6,7,5,0,0,0,0,2,1,0,0,1,0,0,1,0,2,4,3,0,3,0,1,11,2,0,4,0,1,17,1,4,5,0,5,12,6,20170919
136,401091002004001,26,10,10,6,7,9,10,0,0,2,2,1,1,1,0,0,1,0,2,0,3,3,5,1,1,1,2,23,3,0,0,0,0,25,1,1,5,6,4,11,15,20170919
137,401091002004002,25,8,13,4,6,10,9,0,0,1,2,1,0,7,1,0,0,0,1,0,3,1,1,1,3,2,1,19,6,0,0,0,0,21,4,3,6,6,2,12,13,20170919
138,401091002004003,26,7,16,3,6,12,8,0,1,0,0,2,0,2,0,0,2,0,2,0,3,2,3,0,5,2,2,22,3,0,0,0,1,24,2,2,5,9,3,15,11,20170919
139,401091002004004,27,10,11,6,12,8,7,0,2,0,2,0,0,6,0,2,0,0,2,0,0,2,0,2,7,1,1,22,0,2,1,0,2,26,1,2,4,9,2,13,14,20170919
140,401091002004005,30,3,21,6,6,12,12,0,0,0,1,2,2,2,0,0,2,0,0,1,3,1,9,1,3,1,2,15,10,2,3,0,0,28,2,1,9,12,5,16,14,20170919
141,401091002004006,36,16,19,1,13,14,9,0,3,0,1,2,1,2,1,0,2,0,2,2,3,3,6,0,8,0,0,21,12,0,1,0,2,32,4,0,5,9,6,21,15,20170919
142,401091002004007,16,3,10,3,6,6,4,0,1,0,1,0,1,3,2,1,0,0,0,0,3,2,1,0,0,1,0,10,6,0,0,0,0,16,0,3,4,3,3,7,9,20170919
143,401091002004008,34,12,18,4,13,11,10,0,0,0,0,2,3,5,1,0,1,1,0,2,4,6,4,0,4,1,0,24,3,2,4,0,1,29,5,2,5,5,10,17,17,20170919
144,401091002004009,34,9,18,7,8,12,14,1,1,1,0,2,3,3,1,0,1,0,3,0,0,2,9,1,4,0,2,28,2,0,2,0,2,24,10,1,10,8,6,15,19,20170919
145,401091002004010,31,5,21,5,11,12,8,0,1,0,1,1,1,6,0,0,2,0,1,0,2,3,4,1,6,1,1,18,7,1,1,0,4,30,1,2,12,6,6,17,14,20170919
146,401091002004011,16,6,6,4,6,8,2,0,0,0,2,0,0,2,0,0,1,0,1,0,4,1,0,1,2,1,1,15,1,0,0,0,0,14,2,5,2,2,1,11,5,20170919
