FID,h_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,createdate
3062,401091063033009,14,2,6,6,4,5,5,0,3,0,0,1,2,2,0,0,0,0,0,0,3,1,0,0,0,1,1,12,1,0,1,0,0,12,2,1,5,5,1,9,5,20170919
3063,401091063033010,29,9,16,4,11,10,8,0,3,0,2,3,0,3,0,1,1,2,2,1,2,1,5,0,3,0,0,22,7,0,0,0,0,25,4,4,5,8,3,13,16,20170919
3064,401091063033011,29,9,16,4,6,17,6,0,1,1,1,0,0,4,1,0,1,1,3,0,2,2,8,0,2,2,0,17,9,0,1,0,2,24,5,5,3,7,5,9,20,20170919
3065,401091063033012,24,12,7,5,4,17,3,1,0,0,1,1,3,2,1,0,2,1,1,0,3,1,0,0,6,1,0,19,4,0,0,0,1,17,7,2,2,4,4,15,9,20170919
3066,401091063033013,39,10,23,6,7,17,15,0,3,0,1,0,1,4,1,2,2,0,0,2,5,7,7,1,1,0,2,26,11,2,0,0,0,38,1,5,6,15,3,16,23,20170919
3067,401091063033014,24,7,14,3,7,11,6,0,1,0,0,1,0,1,1,0,0,0,1,1,2,1,6,1,7,0,1,11,11,0,0,0,2,21,3,2,9,3,3,8,16,20170919
3068,401091063033015,26,4,17,5,11,11,4,0,0,0,1,0,1,3,0,0,3,0,1,0,6,2,4,2,2,1,0,14,11,0,0,0,1,22,4,2,8,6,6,9,17,20170919
3069,401091063033016,17,3,11,3,6,6,5,0,1,0,0,0,1,3,0,0,2,0,0,0,0,2,3,0,4,0,1,12,3,0,2,0,0,17,0,1,3,5,5,8,9,20170919
3070,401091063033017,63,23,27,13,18,30,15,0,1,0,4,6,0,4,1,1,2,0,9,0,4,6,11,1,9,0,4,46,10,3,4,0,0,59,4,9,7,16,8,31,32,20170919
3071,401091063033018,46,19,19,8,12,22,12,0,2,0,2,4,2,7,1,0,0,1,1,0,3,6,6,0,4,2,5,25,16,2,2,0,1,44,2,0,11,10,6,23,23,20170919
3072,401091063033019,33,13,14,6,9,17,7,0,0,0,2,2,1,6,0,0,4,1,2,0,3,2,2,1,3,2,2,28,4,0,0,0,1,30,3,4,8,5,3,18,15,20170919
3073,401091063033020,8,3,5,0,2,2,4,0,0,0,0,1,0,1,0,0,0,0,2,1,0,1,1,0,0,0,1,8,0,0,0,0,0,8,0,1,0,0,4,3,5,20170919
3074,401091063033021,16,6,5,5,3,8,5,0,1,0,1,0,0,3,1,1,1,0,1,0,0,1,3,0,3,0,0,14,2,0,0,0,0,12,4,2,2,4,2,7,9,20170919
3075,401091063033022,26,6,18,2,7,10,9,0,0,1,1,0,1,6,0,0,2,0,0,2,2,2,6,0,2,0,1,23,0,3,0,0,0,25,1,0,4,12,4,11,15,20170919
3076,401091063033023,10,3,6,1,4,2,4,0,1,1,0,1,0,2,0,1,0,0,0,0,2,0,1,1,0,0,0,9,1,0,0,0,0,9,1,0,4,1,2,7,3,20170919
3077,401091063033024,9,4,4,1,3,4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,2,1,1,0,2,0,0,8,1,0,0,0,0,8,1,2,1,1,1,2,7,20170919
3078,401091063033025,10,3,6,1,1,6,3,0,0,0,1,0,0,2,0,0,0,0,2,0,1,0,2,0,2,0,0,8,0,1,0,0,1,10,0,0,1,5,1,5,5,20170919
3079,401091063033026,9,2,5,2,2,3,4,0,2,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,9,0,0,0,0,0,7,2,0,4,1,2,4,5,20170919
3080,401091063033027,25,8,14,3,10,10,5,0,1,0,0,1,2,3,0,0,0,0,1,0,5,1,5,0,6,0,0,17,6,0,0,0,2,25,0,2,5,4,6,10,15,20170919
3081,401091063033028,15,6,7,2,4,8,3,0,0,0,0,1,0,6,0,0,1,0,2,0,1,1,1,0,1,0,1,10,2,0,2,0,1,12,3,1,1,3,4,6,9,20170919
3082,401091064011001,19,0,10,9,2,3,14,0,2,0,1,0,0,0,1,0,3,0,3,1,2,1,4,0,0,1,0,18,0,0,1,0,0,19,0,1,5,7,6,14,5,20170919
3083,401091064011003,9,4,2,3,1,4,4,0,2,0,1,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,8,0,1,0,0,0,9,0,0,4,1,0,7,2,20170919
3084,401091064011005,23,9,7,7,5,5,13,0,2,0,1,1,0,1,0,0,1,1,2,0,2,4,4,0,2,2,0,21,1,0,1,0,0,22,1,0,4,4,6,10,13,20170919
3085,401091064011006,20,3,13,4,6,2,12,0,1,0,1,2,1,1,1,2,1,0,1,0,1,2,3,0,2,1,0,20,0,0,0,0,0,20,0,0,4,5,8,11,9,20170919
3086,401091064011008,9,1,7,1,4,0,5,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,6,0,0,3,0,0,9,0,1,1,3,3,7,2,20170919
3087,401091064011009,6,0,4,2,0,1,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,6,0,0,0,0,0,6,0,1,1,1,3,3,3,20170919
3088,401091064011012,12,2,5,5,2,4,6,0,3,0,1,0,2,2,0,0,0,0,0,0,2,0,0,0,1,0,1,10,2,0,0,0,0,11,1,2,4,2,2,6,6,20170919
3089,401091064011013,14,5,6,3,3,3,8,0,0,0,0,2,0,0,0,0,1,0,3,0,2,3,2,0,1,0,0,14,0,0,0,0,0,14,0,0,4,3,2,7,7,20170919
3090,401091064011014,4,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,1,3,20170919
3091,401091064011015,11,1,4,6,4,0,7,0,1,0,1,0,0,1,0,1,0,0,2,0,1,2,1,0,1,0,0,10,0,0,1,0,0,11,0,2,2,3,3,4,7,20170919
3092,401091064011017,7,2,3,2,1,1,5,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,6,0,0,0,0,1,7,0,0,3,1,1,2,5,20170919
3093,401091064011020,36,4,17,15,4,10,22,0,3,0,0,2,3,5,0,0,2,1,4,0,1,5,7,0,1,1,1,32,0,0,2,0,2,36,0,1,7,6,18,17,19,20170919
3094,401091064011021,29,3,14,12,3,9,17,0,3,0,1,0,1,1,1,2,0,1,3,1,2,4,6,1,1,1,0,27,0,0,2,0,0,26,3,4,4,10,8,11,18,20170919
3095,401091064011022,19,3,10,6,4,2,13,0,3,0,0,0,1,1,0,0,0,0,2,1,0,3,5,0,1,0,2,16,0,0,3,0,0,19,0,2,4,3,7,10,9,20170919
3096,401091064011024,15,0,9,6,2,2,11,0,1,0,1,1,1,0,1,1,2,1,1,0,2,0,1,0,2,0,0,15,0,0,0,0,0,15,0,2,6,5,2,9,6,20170919
3097,401091064011025,7,2,4,1,0,2,5,0,0,1,0,0,1,0,0,1,0,0,1,0,2,1,0,0,0,0,0,6,1,0,0,0,0,7,0,1,2,0,2,5,2,20170919
3098,401091064011027,25,2,14,9,3,9,13,0,2,1,1,0,3,2,0,1,1,0,3,0,2,1,6,0,1,1,0,24,1,0,0,0,0,23,2,4,3,6,10,13,12,20170919
3099,401091064011028,14,1,8,5,2,2,10,0,2,0,2,0,2,1,0,1,1,0,1,0,1,0,2,0,1,0,0,11,0,0,3,0,0,14,0,0,2,4,7,9,5,20170919
3100,401091064011029,17,3,9,5,2,4,11,0,2,0,0,0,2,1,0,1,0,0,2,2,0,2,4,0,1,0,0,15,0,0,1,1,0,16,1,0,4,4,6,11,6,20170919
3101,401091064011030,25,4,12,9,5,4,16,0,3,0,1,1,0,4,0,0,0,0,2,2,3,1,6,1,0,0,1,23,0,0,2,0,0,25,0,3,6,2,10,11,14,20170919
3102,401091064011031,63,15,25,23,10,14,39,0,5,0,2,1,4,6,1,0,5,5,7,4,3,5,12,0,0,1,2,53,0,2,6,0,2,63,0,2,14,13,19,33,30,20170919
